contactDate,beat,encounterType,reasonForEncounter,resultOfEncounter,search,typeOfSearch,resultOfSearch,race,sex
1/2/15,05X,Bicycle,Traffic Violation,Citation,No,No,No,White,Male
1/2/15,18X,Vehicle,Probable Cause,FI Report,No,No,No,Afr American,Male
1/2/15,04X,Vehicle,Traffic Violation,Citation,Yes,Weapons,Yes,Afr American,Male
1/2/15,03X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/2/15,03X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Female
1/2/15,04X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
1/2/15,27X,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
1/2/15,18X,Pedestrian,Consensual Encounter,FI Report,No,No,No,Other,Female
1/2/15,18X,Pedestrian,Consensual Encounter,FI Report,No,No,No,Other,Male
1/2/15,17X,Pedestrian,Probable Cause,FI Report,No,No,No,White,Female
1/2/15,17X,Pedestrian,Probable Cause,FI Report,No,No,No,Afr American,Male
1/2/15,17X,Pedestrian,Probable Cause,Citation,Yes,Prob./Parole,Yes,Afr American,Male
1/2/15,18Y,Pedestrian,Consensual Encounter,FI Report,No,No,No,Asian,Male
1/2/15,12X,Vehicle,Traffic Violation,Citation,No,No,No,Other,Male
1/2/15,20X,Vehicle,Probable Cause,FI Report,No,No,No,Afr American,Female
1/2/15,18X,Vehicle,Reasonable Suspicion,Felony Arrest,Yes,Incident to Arrest,Yes,Afr American,Male
1/2/15,18X,Vehicle,Reasonable Suspicion,Felony Arrest,Yes,Incident to Arrest,Yes,Afr American,Male
1/2/15,04X,Vehicle,Traffic Violation,Warning,No,No,No,Other,Female
1/2/15,11X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/2/15,02Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
1/2/15,18Y,Vehicle,Traffic Violation,Warning,Yes,Prob./Parole,None,Afr American,Male
1/2/15,18Y,Vehicle,Traffic Violation,Warning,Yes,Weapons,None,Afr American,Male
1/2/15,18X,Vehicle,Traffic Violation,Felony Arrest,Yes,Prob./Parole,None,Afr American,Male
1/2/15,28X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,Afr American,Male
1/2/15,12X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
1/2/15,11X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
1/2/15,18X,Vehicle,Traffic Violation,FI Report,Yes,P/C,None,Afr American,Male
1/2/15,18X,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,None,Afr American,Male
1/2/15,30X,Vehicle,Reasonable Suspicion,FI Report,No,No,No,Afr American,Male
1/2/15,05Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
1/2/15,04X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/2/15,12X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
1/2/15,18X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/2/15,20X,Vehicle,Reasonable Suspicion,FI Report,No,No,No,Afr American,Male
1/2/15,05X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/2/15,04X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/2/15,27Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/2/15,30Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/2/15,30Y,Vehicle,Consensual Encounter,FI Report,Yes,Prob./Parole,None,Afr American,Male
1/2/15,30Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/2/15,30Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
1/2/15,33X,Pedestrian,Probable Cause,Warning,No,No,No,Afr American,Female
1/2/15,03X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
1/2/15,03X,Vehicle,Traffic Violation,Warning,No,No,No,Asian,Male
1/2/15,22Y,Pedestrian,Probable Cause,Felony Arrest,Yes,Incident to Arrest,None,Afr American,Male
1/2/15,19X,Vehicle,Traffic Violation,Citation,Yes,Consent,Yes,Afr American,Male
1/2/15,19X,Bicycle,Traffic Violation,Warning,No,No,No,White,Male
1/2/15,19X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
1/2/15,20X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/2/15,23X,Vehicle,Probable Cause,FI Report,Yes,Weapons,None,Afr American,Male
1/2/15,27Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
1/2/15,04X,Bicycle,Traffic Violation,Misdemeanor Arrest,Yes,Incident to Arrest,Yes,White,Male
1/2/15,04X,Bicycle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/2/15,04X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/2/15,03X,Vehicle,Traffic Violation,Warning,No,No,No,Asian,Female
1/2/15,06X,Vehicle,Consensual Encounter,FI Report,No,No,No,Afr American,Male
1/2/15,08X,Bicycle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/2/15,04X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Male
1/2/15,19X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/2/15,30X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/2/15,07X,Vehicle,Reasonable Suspicion,FI Report,No,No,No,Afr American,Female
1/3/15,23X,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
1/3/15,04X,Vehicle,Traffic Violation,FI Report,No,No,No,Asian,Male
1/3/15,04X,Vehicle,Traffic Violation,Misdemeanor Arrest,Yes,Incident to Arrest,Yes,White,Male
1/3/15,19X,Pedestrian,Probable Cause,Misdemeanor Arrest,Yes,Incident to Arrest,None,Afr American,Female
1/3/15,18X,Pedestrian,Probable Cause,FI Report,No,No,No,Asian,Male
1/3/15,16Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
1/3/15,03X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/3/15,04X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
1/3/15,08X,Vehicle,Traffic Violation,Citation,No,No,No,Other,Male
1/3/15,08X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/3/15,04X,Vehicle,Traffic Violation,FI Report,Yes,Weapons,None,Afr American,Male
1/3/15,06X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
1/3/15,34X,Pedestrian,Probable Cause,Warning,Yes,P/C,None,Afr American,Male
1/3/15,23X,Vehicle,Traffic Violation,Misdemeanor Arrest,Yes,Incident to Arrest,None,Hispanic,Male
1/3/15,01X,Pedestrian,Probable Cause,FI Report,No,No,No,Afr American,Female
1/3/15,12X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
1/3/15,09X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Female
1/3/15,12Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
1/3/15,12Y,Bicycle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/3/15,13Y,Vehicle,Traffic Violation,Misdemeanor Arrest,Yes,Prob./Parole,Yes,Hispanic,Male
1/3/15,12X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
1/3/15,23X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/3/15,23X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,Afr American,Female
1/3/15,23X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/3/15,03X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/3/15,08X,Vehicle,Traffic Violation,Felony Arrest,Yes,Incident to Arrest,None,Afr American,Female
1/3/15,12Y,Vehicle,Traffic Violation,FI Report,No,No,No,White,Male
1/3/15,08X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
1/3/15,21X,Vehicle,Traffic Violation,Citation,Yes,Inventory,None,White,Female
1/3/15,30Y,Vehicle,Reasonable Suspicion,FI Report,No,No,No,Afr American,Male
1/3/15,14X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/3/15,14Y,Vehicle,Traffic Violation,FI Report,No,No,No,Asian,Male
1/3/15,09X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
1/3/15,08X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Female
1/3/15,03X,Vehicle,Traffic Violation,Misdemeanor Arrest,Yes,Incident to Arrest,None,Afr American,Female
1/3/15,06X,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
1/3/15,06X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Male
1/3/15,12X,Vehicle,Traffic Violation,FI Report,No,No,No,Other,Male
1/3/15,34X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/3/15,34X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
1/3/15,04X,Vehicle,Traffic Violation,Warning,No,No,No,Asian,Male
1/3/15,03X,Vehicle,Traffic Violation,Warning,No,No,No,White,Female
1/3/15,30Y,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
1/3/15,26Y,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
1/3/15,07X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/3/15,05X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
1/3/15,02X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/3/15,22Y,Vehicle,Consensual Encounter,FI Report,No,No,No,White,Male
1/3/15,01X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/3/15,01X,Pedestrian,Reasonable Suspicion,FI Report,Yes,Weapons,None,White,Male
1/3/15,31Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/3/15,02X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/3/15,04X,Vehicle,Traffic Violation,Citation,No,No,No,White,Female
1/4/15,03X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/4/15,14Y,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
1/4/15,26Y,Pedestrian,Consensual Encounter,Felony Arrest,Yes,Prob./Parole,Yes,Afr American,Male
1/4/15,30Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/4/15,30Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/4/15,27Y,Pedestrian,Probable Cause,Felony Arrest,Yes,Incident to Arrest,Yes,Afr American,Male
1/4/15,30Y,Vehicle,Traffic Violation,FI Report,Yes,P/C,None,Afr American,Male
1/4/15,30Y,Vehicle,Traffic Violation,FI Report,Yes,P/C,None,Afr American,Male
1/4/15,30Y,Vehicle,Traffic Violation,FI Report,Yes,P/C,None,Afr American,Male
1/4/15,26Y,Vehicle,Traffic Violation,Citation,Yes,P/C,Yes,Afr American,Male
1/4/15,19X,Vehicle,Traffic Violation,FI Report,No,No,No,Asian,Female
1/4/15,25X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
1/4/15,09X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
1/4/15,29X,Vehicle,Probable Cause,FI Report,Yes,Weapons,None,Afr American,Male
1/4/15,08X,Pedestrian,Probable Cause,Warning,Yes,Prob./Parole,None,Afr American,Male
1/4/15,09X,Vehicle,Traffic Violation,FI Report,No,No,No,Asian,Female
1/4/15,09X,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
1/4/15,09X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
1/4/15,07X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/4/15,17Y,Vehicle,Traffic Violation,FI Report,No,No,No,Other,Male
1/4/15,27X,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
1/4/15,14Y,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
1/4/15,05X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Female
1/4/15,30X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/4/15,32X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
1/4/15,19X,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,None,Afr American,Male
1/4/15,19X,Vehicle,Traffic Violation,Felony Arrest,Yes,Incident to Arrest,None,Afr American,Male
1/4/15,12X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,Yes,Afr American,Male
1/4/15,12X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
1/4/15,10Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
1/4/15,30X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
1/4/15,30Y,Pedestrian,Reasonable Suspicion,FI Report,Yes,Weapons,None,Afr American,Female
1/4/15,30Y,Vehicle,Reasonable Suspicion,FI Report,No,No,No,Afr American,Female
1/4/15,30Y,Vehicle,Reasonable Suspicion,FI Report,No,No,No,Afr American,Male
1/4/15,29X,Vehicle,Probable Cause,FI Report,Yes,Weapons,Yes,Afr American,Male
1/4/15,29X,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,Yes,Afr American,Male
1/4/15,08X,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
1/4/15,08X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,Afr American,Male
1/4/15,03X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/4/15,03X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/4/15,09X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Female
1/4/15,08X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/4/15,11X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/4/15,07X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
1/4/15,07X,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,None,Afr American,Male
1/4/15,05X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/4/15,02X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
1/4/15,03Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
1/4/15,05X,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
1/4/15,05X,Vehicle,Traffic Violation,Felony Arrest,Yes,Incident to Arrest,None,Afr American,Male
1/4/15,05X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/4/15,07X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/4/15,07X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/4/15,03X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Male
1/4/15,12X,Vehicle,Traffic Violation,Warning,No,No,No,Asian,Male
1/4/15,02X,Pedestrian,Probable Cause,Warning,No,No,No,Afr American,Male
1/4/15,05X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
1/4/15,06X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
1/4/15,06X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/4/15,07X,Bicycle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/4/15,20X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/4/15,30X,Pedestrian,Probation/Parole,FI Report,No,No,No,Afr American,Male
1/4/15,34X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/4/15,08X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/4/15,26Y,Vehicle,Traffic Violation,Misdemeanor Arrest,Yes,Incident to Arrest,None,White,Female
1/4/15,19X,Vehicle,Traffic Violation,Citation,No,No,No,Other,Male
1/5/15,02Y,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
1/5/15,06X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/5/15,02Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/5/15,30X,Pedestrian,Probable Cause,FI Report,Yes,Weapons,None,Afr American,Male
1/5/15,27Y,Pedestrian,Reasonable Suspicion,Felony Arrest,Yes,Incident to Arrest,Yes,Hispanic,Male
1/5/15,10Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/5/15,11X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,Afr American,Male
1/5/15,18X,Vehicle,Traffic Violation,FI Report,No,No,No,Asian,Male
1/5/15,30X,Pedestrian,Probation/Parole,FI Report,No,No,No,Afr American,Male
1/5/15,30X,Other,Probation/Parole,FI Report,No,No,No,Afr American,Female
1/5/15,29X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,Hispanic,Male
1/5/15,24Y,Vehicle,Traffic Violation,Citation,No,No,No,Other,Male
1/5/15,29X,Vehicle,Traffic Violation,Warning,Yes,Prob./Parole,None,Afr American,Male
1/5/15,28X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
1/5/15,29X,Vehicle,Traffic Violation,Citation,Yes,P/C,None,Hispanic,Male
1/5/15,29X,Vehicle,Traffic Violation,Citation,Yes,Weapons,None,Afr American,Male
1/5/15,29X,Vehicle,Traffic Violation,Citation,Yes,Weapons,Yes,Afr American,Male
1/5/15,32X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/5/15,29X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/5/15,27Y,Vehicle,Consensual Encounter,FI Report,No,No,No,Afr American,Male
1/5/15,34X,Vehicle,Consensual Encounter,FI Report,Yes,P/C,Yes,Afr American,Male
1/5/15,30X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/5/15,08X,Pedestrian,Reasonable Suspicion,FI Report,No,No,No,White,Male
1/5/15,07X,Other,Probable Cause,Felony Arrest,Yes,Incident to Arrest,None,Afr American,Male
1/5/15,02X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/5/15,12X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/5/15,12X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/5/15,12X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
1/5/15,02Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/5/15,23X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,Afr American,Male
1/5/15,21Y,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Female
1/5/15,30Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
1/5/15,19X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/5/15,21X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
1/5/15,22Y,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
1/5/15,14X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
1/5/15,17X,Vehicle,Traffic Violation,Warning,Yes,P/C,None,Afr American,Male
1/5/15,18X,Pedestrian,Reasonable Suspicion,FI Report,No,No,No,Afr American,Female
1/5/15,17X,Vehicle,Traffic Violation,Misdemeanor Arrest,Yes,Prob./Parole,None,Afr American,Male
1/5/15,21Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
1/5/15,02X,Vehicle,Traffic Violation,Felony Arrest,Yes,Incident to Arrest,Yes,Hispanic,Female
1/5/15,04X,Vehicle,Traffic Violation,Warning,No,No,No,Asian,Female
1/5/15,07X,Vehicle,Traffic Violation,Warning,Yes,Prob./Parole,Yes,Afr American,Male
1/5/15,24X,Vehicle,Probable Cause,Felony Arrest,Yes,Incident to Arrest,Yes,White,Male
1/5/15,14X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
1/5/15,04X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Female
1/5/15,12X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/5/15,30X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/5/15,32X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Female
1/5/15,34X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/5/15,33X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/5/15,33X,Vehicle,Consensual Encounter,FI Report,No,No,No,Afr American,Male
1/5/15,34X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/5/15,30Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/5/15,06X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
1/5/15,05X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
1/5/15,05X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/5/15,04X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
1/5/15,20X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
1/5/15,02X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Female
1/5/15,07X,Pedestrian,Probation/Parole,Felony Arrest,Yes,Prob./Parole,Yes,Afr American,Male
1/5/15,07X,Bicycle,Traffic Violation,Warning,Yes,Prob./Parole,None,Afr American,Male
1/5/15,03X,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
1/5/15,30Y,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Female
1/5/15,17X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/5/15,20X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/5/15,07X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
1/5/15,19X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
1/5/15,20X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Female
1/5/15,02Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
1/5/15,30Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/5/15,20X,Pedestrian,Probable Cause,FI Report,Yes,Prob./Parole,None,White,Male
1/5/15,07X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
1/5/15,26Y,Vehicle,Traffic Violation,FI Report,No,No,No,White,Male
1/5/15,04X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
1/5/15,08X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
1/5/15,08X,Bicycle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/5/15,18Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
1/5/15,17X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
1/5/15,32Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/5/15,35X,Vehicle,Traffic Violation,Felony Arrest,Yes,Incident to Arrest,None,Other,Male
1/6/15,07X,Pedestrian,Probable Cause,Citation,Yes,Incident to Arrest,Yes,Afr American,Male
1/6/15,13X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Male
1/6/15,13X,Vehicle,Traffic Violation,FI Report,No,No,No,Asian,Female
1/6/15,08X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Male
1/6/15,12Y,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
1/6/15,12X,Vehicle,Traffic Violation,Citation,No,No,No,White,Female
1/6/15,18X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Female
1/6/15,14X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/6/15,34X,Vehicle,Probation/Parole,FI Report,Yes,Prob./Parole,None,Afr American,Male
1/6/15,26Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
1/6/15,19X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
1/6/15,20X,Pedestrian,Reasonable Suspicion,FI Report,No,No,No,White,Female
1/6/15,26Y,Vehicle,Traffic Violation,FI Report,Yes,P/C,None,Afr American,Male
1/6/15,26Y,Vehicle,Traffic Violation,FI Report,Yes,P/C,Yes,Afr American,Male
1/6/15,26Y,Vehicle,Traffic Violation,FI Report,Yes,P/C,Yes,Afr American,Male
1/6/15,35X,Vehicle,Traffic Violation,Misdemeanor Arrest,Yes,Prob./Parole,None,Afr American,Male
1/6/15,26X,Pedestrian,Consensual Encounter,FI Report,Yes,Weapons,None,Hispanic,Female
1/6/15,02X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
1/6/15,07X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,Afr American,Male
